fecha, vuelos_totales, atrasos_totales_arribo, tiempo_atrasado_porcentaje_arribo, atrasos_totales_salida, tiempo_atrasado_porcentaje_salida, vuelos_cancelados,vuelos_cancelados_porcentaje,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
25/6/1998,15237,4343,0.28503,3694,0.242436,320,0.0210015,0,0,0,0,0
16/6/1998,15206,5277,0.347034,4116,0.270683,720,0.0473497,0,0,0,0,0
26/5/1998,15009,2012,0.134053,1670,0.111267,172,0.0114598,0,0,0,0,0
17/5/1998,14206,1990,0.140082,1910,0.13445,196,0.013797,0,0,0,0,0
27/4/1998,15109,2328,0.15408,1715,0.113509,260,0.0172083,0,0,0,0,0
18/4/1998,13289,2326,0.175032,1949,0.146663,132,0.00993303,0,0,0,0,0
28/3/1998,13455,2243,0.166704,1992,0.148049,132,0.00981048,0,0,0,0,0
19/3/1998,15201,5486,0.360897,4515,0.29702,373,0.0245379,0,0,0,0,0
9/12/1998,15154,2026,0.133694,1518,0.100172,337,0.0222384,0,0,0,0,0
21/9/1998,15236,2620,0.171961,2044,0.134156,385,0.0252691,0,0,0,0,0
12/9/1998,13362,2256,0.168837,2217,0.165918,1353,0.101257,0,0,0,0,0
30/9/1998,15192,2766,0.18207,2056,0.135334,302,0.0198789,0,0,0,0,0
22/8/1998,13887,2184,0.157269,1849,0.133146,216,0.0155541,0,0,0,0,0
13/8/1998,15380,3027,0.196814,2419,0.157282,204,0.013264,0,0,0,0,0
31/8/1998,15374,3447,0.22421,3125,0.203265,1768,0.114999,0,0,0,0,0
14/7/1998,15277,2469,0.161616,1978,0.129476,270,0.0176736,0,0,0,0,0
23/7/1998,15298,4516,0.295202,3670,0.239901,422,0.0275853,0,0,0,0,0
24/6/1998,15211,3491,0.229505,2920,0.191966,374,0.0245875,0,0,0,0,0
15/6/1998,15208,4226,0.27788,3091,0.203248,398,0.0261704,0,0,0,0,0
25/5/1998,14295,1901,0.132984,1495,0.104582,119,0.00832459,0,0,0,0,0
16/5/1998,13240,1883,0.142221,1748,0.132024,256,0.0193353,0,0,0,0,0
26/4/1998,14323,3726,0.260141,2822,0.197026,141,0.00984431,0,0,0,0,0
17/4/1998,15152,4157,0.274353,3252,0.214625,217,0.0143215,0,0,0,0,0
27/3/1998,15224,4028,0.264582,3252,0.21361,180,0.0118234,0,0,0,0,0
18/3/1998,15178,6183,0.407366,5000,0.329424,617,0.0406509,0,0,0,0,0
19/2/1998,15166,3767,0.248385,2830,0.186602,307,0.0202426,0,0,0,0,0
28/2/1998,13383,1992,0.148846,1603,0.119779,162,0.0121049,0,0,0,0,0
29/1/1998,15080,1908,0.126525,1478,0.0980106,267,0.0177056,0,0,0,0,0
8/12/1998,15157,3791,0.250115,2726,0.179851,348,0.0229597,0,0,0,0,0
9/11/1998,15139,3350,0.221283,2143,0.141555,280,0.0184953,0,0,0,0,0
11/9/1998,15300,3981,0.260196,3708,0.242353,1656,0.108235,0,0,0,0,0
20/9/1998,14426,3253,0.225496,2709,0.187786,375,0.0259947,0,0,0,0,0
21/8/1998,15406,2687,0.174413,2310,0.149942,212,0.0137609,0,0,0,0,0
12/8/1998,15369,2937,0.191099,2281,0.148416,321,0.0208862,0,0,0,0,0
30/8/1998,14711,3440,0.233839,3181,0.216233,1576,0.107131,0,0,0,0,0
13/7/1998,15282,2144,0.140296,1825,0.119422,216,0.0141343,0,0,0,0,0
31/7/1998,15331,3567,0.232666,3090,0.201552,226,0.0147414,0,0,0,0,0
22/7/1998,15274,4035,0.264174,3276,0.214482,479,0.0313605,0,0,0,0,0
23/6/1998,15210,4301,0.282774,3321,0.218343,542,0.0356345,0,0,0,0,0
14/6/1998,14463,3888,0.268824,3355,0.231971,208,0.0143815,0,0,0,0,0
24/5/1998,12456,1039,0.0834136,846,0.0679191,100,0.00802826,0,0,0,0,0
15/5/1998,15024,4250,0.282881,3670,0.244276,283,0.0188365,0,0,0,0,0
25/4/1998,13283,1273,0.0958368,1229,0.0925243,165,0.0124219,0,0,0,0,0
16/4/1998,15119,4852,0.320921,3634,0.24036,252,0.0166678,0,0,0,0,0
26/3/1998,15197,3689,0.242745,3034,0.199645,230,0.0151346,0,0,0,0,0
17/3/1998,15174,4138,0.272703,3249,0.214116,373,0.0245815,0,0,0,0,0
27/2/1998,15180,2797,0.184256,2318,0.152701,207,0.0136364,0,0,0,0,0
18/2/1998,15152,4120,0.271911,3319,0.219047,450,0.029699,0,0,0,0,0
19/1/1998,15055,2461,0.163467,1817,0.120691,286,0.018997,0,0,0,0,0
28/1/1998,15066,3388,0.224877,2507,0.166401,562,0.0373025,0,0,0,0,0
7/12/1998,15177,2726,0.179614,1929,0.1271,276,0.0181854,0,0,0,0,0
8/11/1998,14318,3563,0.248848,2882,0.201285,98,0.00684453,0,0,0,0,0
9/10/1998,15223,3985,0.261775,3427,0.22512,220,0.0144518,0,0,0,0,0
10/9/1998,15269,2972,0.194643,2766,0.181151,1692,0.110813,0,0,0,0,0
20/8/1998,15389,2779,0.180584,2142,0.13919,218,0.014166,0,0,0,0,0
11/8/1998,15376,3371,0.219238,2831,0.184118,415,0.0269901,0,0,0,0,0
12/7/1998,14641,2270,0.155044,2035,0.138993,199,0.013592,0,0,0,0,0
30/7/1998,15294,4142,0.270825,3625,0.237021,418,0.027331,0,0,0,0,0
21/7/1998,15278,4405,0.288323,3509,0.229677,513,0.0335777,0,0,0,0,0
22/6/1998,15231,4163,0.273324,3495,0.229466,367,0.0240956,0,0,0,0,0
13/6/1998,13661,5075,0.371495,4564,0.33409,757,0.0554132,0,0,0,0,0
14/5/1998,14992,3074,0.205043,2426,0.16182,244,0.0162753,0,0,0,0,0
23/5/1998,12518,1770,0.141396,1593,0.127257,92,0.00734942,0,0,0,0,0
24/4/1998,15154,2389,0.157648,2138,0.141085,225,0.0148476,0,0,0,0,0
15/4/1998,15105,3854,0.255147,2614,0.173055,283,0.0187355,0,0,0,0,0
25/3/1998,15178,2249,0.148175,1766,0.116353,255,0.0168006,0,0,0,0,0
16/3/1998,15185,3776,0.248666,3098,0.204017,308,0.0202832,0,0,0,0,0
26/2/1998,15158,3653,0.240995,2788,0.183929,303,0.0199894,0,0,0,0,0
17/2/1998,15148,6897,0.455308,5222,0.344732,578,0.0381569,0,0,0,0,0
18/1/1998,14193,3130,0.220531,2385,0.168041,330,0.0232509,0,0,0,0,0
27/1/1998,15062,2176,0.14447,1597,0.106028,423,0.0280839,0,0,0,0,0
6/12/1998,14352,4490,0.312848,3610,0.251533,194,0.0135173,0,0,0,0,0
7/11/1998,13139,1569,0.119415,1309,0.0996271,231,0.0175812,0,0,0,0,0
8/10/1998,15200,3033,0.199539,2339,0.153882,190,0.0125,0,0,0,0,0
10/8/1998,15389,4822,0.313341,4035,0.2622,805,0.0523101,0,0,0,0,0
11/7/1998,13816,1821,0.131804,1757,0.127171,228,0.0165026,0,0,0,0,0
20/7/1998,15292,4036,0.263929,3164,0.206906,384,0.0251112,0,0,0,0,0
30/6/1998,15226,6179,0.405819,5348,0.351241,983,0.0645606,0,0,0,0,0
21/6/1998,14503,2840,0.195822,2628,0.181204,210,0.0144798,0,0,0,0,0
12/6/1998,15205,5575,0.366656,4464,0.293588,343,0.0225584,0,0,0,0,0
31/5/1998,14209,3766,0.265043,3056,0.215075,558,0.0392709,0,0,0,0,0
22/5/1998,15049,3955,0.262808,3417,0.227058,149,0.00990099,0,0,0,0,0
13/5/1998,14963,2492,0.166544,1933,0.129185,297,0.019849,0,0,0,0,0
23/4/1998,15115,3826,0.253126,2969,0.196427,358,0.0236851,0,0,0,0,0
14/4/1998,15110,2255,0.149239,1551,0.102647,200,0.0132363,0,0,0,0,0
24/3/1998,15180,2134,0.14058,1575,0.103755,348,0.0229249,0,0,0,0,0
15/3/1998,14378,3641,0.253234,3000,0.208652,136,0.0094589,0,0,0,0,0
16/2/1998,15069,5431,0.360409,3912,0.259606,268,0.0177849,0,0,0,0,0
25/2/1998,15138,3557,0.234972,2763,0.182521,780,0.051526,0,0,0,0,0
17/1/1998,13151,1983,0.150787,1567,0.119154,265,0.0201506,0,0,0,0,0
26/1/1998,15062,2382,0.158146,1831,0.121564,318,0.0211127,0,0,0,0,0
5/12/1998,13172,2326,0.176587,1905,0.144625,203,0.0154115,0,0,0,0,0
6/11/1998,15190,2381,0.156748,2146,0.141277,166,0.0109282,0,0,0,0,0
7/10/1998,15167,2227,0.146832,1645,0.108459,223,0.014703,0,0,0,0,0
10/7/1998,15329,3395,0.221476,3029,0.197599,283,0.0184617,0,0,0,0,0
20/6/1998,13742,3853,0.280381,3294,0.239703,244,0.0177558,0,0,0,0,0
11/6/1998,15151,6720,0.443535,5595,0.369283,534,0.0352452,0,0,0,0,0
21/5/1998,15012,4209,0.280376,3419,0.227751,249,0.0165867,0,0,0,0,0
12/5/1998,14993,3093,0.206296,2216,0.147802,419,0.0279464,0,0,0,0,0
30/5/1998,13229,2067,0.156248,1759,0.132965,242,0.0182931,0,0,0,0,0
22/4/1998,15096,2467,0.163421,1796,0.118972,228,0.0151033,0,0,0,0,0
13/4/1998,15117,3129,0.206986,2410,0.159423,190,0.0125686,0,0,0,0,0
23/3/1998,15187,2628,0.173043,2188,0.144071,256,0.0168565,0,0,0,0,0
14/3/1998,13450,2495,0.185502,2228,0.165651,166,0.012342,0,0,0,0,0
15/2/1998,14204,2024,0.142495,1557,0.109617,173,0.0121797,0,0,0,0,0
24/2/1998,15146,4301,0.283969,3282,0.216691,654,0.0431797,0,0,0,0,0
16/1/1998,15096,6069,0.402027,4868,0.32247,734,0.0486222,0,0,0,0,0
25/1/1998,14195,1620,0.114125,1329,0.0936245,256,0.0180345,0,0,0,0,0
4/12/1998,15202,2111,0.138863,1706,0.112222,193,0.0126957,0,0,0,0,0
5/11/1998,15157,2362,0.155836,1764,0.116382,180,0.0118757,0,0,0,0,0
6/10/1998,15151,3788,0.250017,2951,0.194773,561,0.0370273,0,0,0,0,0
10/6/1998,15124,5070,0.335229,3814,0.252182,454,0.0300185,0,0,0,0,0
20/5/1998,15001,3133,0.208853,2466,0.164389,343,0.0228651,0,0,0,0,0
11/5/1998,15000,3334,0.222267,2691,0.1794,390,0.026,0,0,0,0,0
30/4/1998,15091,3497,0.231728,2668,0.176794,268,0.0177589,0,0,0,0,0
21/4/1998,15096,2028,0.13434,1608,0.106518,289,0.0191441,0,0,0,0,0
12/4/1998,14214,1579,0.111088,1204,0.0847052,102,0.00717602,0,0,0,0,0
31/3/1998,15163,3053,0.201345,2334,0.153927,368,0.0242696,0,0,0,0,0
22/3/1998,14375,3580,0.249043,3215,0.223652,262,0.0182261,0,0,0,0,0
13/3/1998,15216,3218,0.211488,2695,0.177116,228,0.0149842,0,0,0,0,0
14/2/1998,13325,2346,0.17606,2031,0.15242,232,0.0174109,0,0,0,0,0
23/2/1998,15156,3832,0.252837,2636,0.173925,312,0.0205859,0,0,0,0,0
15/1/1998,15076,6061,0.40203,4775,0.316729,715,0.0474264,0,0,0,0,0
24/1/1998,13150,1661,0.126312,1334,0.101445,250,0.0190114,0,0,0,0,0
3/12/1998,15170,2243,0.147858,1716,0.113118,203,0.0133817,0,0,0,0,0
4/11/1998,15133,2002,0.132294,1506,0.0995176,216,0.0142734,0,0,0,0,0
5/10/1998,15175,5210,0.343328,4212,0.277562,1072,0.0706425,0,0,0,0,0
10/5/1998,14188,2748,0.193685,2405,0.169509,329,0.0231886,0,0,0,0,0
20/4/1998,15115,2616,0.173073,2164,0.143169,230,0.0152167,0,0,0,0,0
11/4/1998,13075,1575,0.120459,1262,0.0965201,96,0.00734226,0,0,0,0,0
30/3/1998,15179,3013,0.198498,2306,0.15192,254,0.0167336,0,0,0,0,0
21/3/1998,13447,3603,0.267941,2992,0.222503,203,0.0150963,0,0,0,0,0
12/3/1998,15196,2600,0.171098,2286,0.150434,258,0.0169782,0,0,0,0,0
13/2/1998,15185,2660,0.175173,2229,0.14679,139,0.00915377,0,0,0,0,0
22/2/1998,14322,3434,0.239771,2712,0.189359,141,0.00984499,0,0,0,0,0
14/1/1998,15067,4570,0.303312,3390,0.224995,524,0.034778,0,0,0,0,0
23/1/1998,15098,4778,0.316466,3781,0.250431,617,0.0408663,0,0,0,0,0
2/12/1998,15122,2376,0.157122,2038,0.134771,366,0.0242031,0,0,0,0,0
3/11/1998,15139,1701,0.112359,1319,0.087126,296,0.0195522,0,0,0,0,0
4/10/1998,14375,4274,0.297322,3155,0.219478,166,0.0115478,0,0,0,0,0
10/4/1998,14914,2147,0.143959,1813,0.121564,169,0.0113316,0,0,0,0,0
20/3/1998,15222,5701,0.374524,4697,0.308567,335,0.0220076,0,0,0,0,0
11/3/1998,15173,2928,0.192974,2538,0.167271,322,0.0212219,0,0,0,0,0
12/2/1998,15161,3196,0.210804,2481,0.163644,220,0.0145109,0,0,0,0,0
21/2/1998,13387,2377,0.17756,1969,0.147083,230,0.0171808,0,0,0,0,0
13/1/1998,15062,2759,0.183176,1931,0.128203,426,0.0282831,0,0,0,0,0
31/1/1998,13175,1558,0.118254,1329,0.100873,173,0.0131309,0,0,0,0,0
22/1/1998,15081,4730,0.31364,3609,0.239308,524,0.0347457,0,0,0,0,0
1/12/1998,15184,2152,0.141728,1724,0.113541,160,0.0105374,0,0,0,0,0
2/11/1998,15152,2160,0.142555,1930,0.127376,374,0.0246832,0,0,0,0,0
3/10/1998,13255,2212,0.16688,1768,0.133384,314,0.0236892,0,0,0,0,0
10/3/1998,15171,2395,0.157867,1918,0.126425,317,0.0208951,0,0,0,0,0
11/2/1998,15112,4367,0.288976,3129,0.207054,432,0.0285866,0,0,0,0,0
20/2/1998,15185,3171,0.208824,2709,0.1784,209,0.0137636,0,0,0,0,0
21/1/1998,15068,3315,0.220003,2407,0.159743,389,0.0258163,0,0,0,0,0
12/1/1998,15060,4650,0.308765,3941,0.261687,886,0.0588313,0,0,0,0,0
30/1/1998,15095,2325,0.154025,1858,0.123087,276,0.0182842,0,0,0,0,0
1/11/1998,14343,2848,0.198564,2499,0.174231,207,0.0144321,0,0,0,0,0
2/10/1998,15191,4087,0.269041,3360,0.221184,448,0.0294911,0,0,0,0,0
10/2/1998,15079,3911,0.259367,2951,0.195703,520,0.034485,0,0,0,0,0
20/1/1998,15057,1742,0.115694,1257,0.0834828,299,0.0198579,0,0,0,0,0
11/1/1998,14240,4424,0.310674,3701,0.259902,460,0.0323034,0,0,0,0,0
1/10/1998,15158,2788,0.183929,2130,0.14052,300,0.0197915,0,0,0,0,0
10/1/1998,13205,1959,0.148353,1772,0.134192,218,0.0165089,0,0,0,0,0
29/12/1998,15165,7152,0.471612,6612,0.436004,541,0.0356742,0,0,0,0,0
28/12/1998,15186,5753,0.378836,5432,0.357698,519,0.0341762,0,0,0,0,0
19/12/1998,13333,3896,0.292207,3412,0.255906,176,0.0132003,0,0,0,0,0
29/11/1998,14623,2293,0.156808,2059,0.140806,66,0.00451344,0,0,0,0,0
27/12/1998,14452,4609,0.318918,4261,0.294838,453,0.0313451,0,0,0,0,0
18/12/1998,15305,4776,0.312055,3826,0.249984,175,0.0114342,0,0,0,0,0
28/11/1998,13328,1175,0.0881603,1195,0.0896609,56,0.00420168,0,0,0,0,0
19/11/1998,15220,2921,0.191919,2248,0.1477,226,0.0148489,0,0,0,0,0
29/10/1998,15180,2499,0.164625,1887,0.124308,255,0.0167984,0,0,0,0,0
26/12/1998,13211,3278,0.248127,2890,0.218757,116,0.00878056,0,0,0,0,0
17/12/1998,15294,3581,0.234144,2847,0.186151,187,0.012227,0,0,0,0,0
18/11/1998,15181,1647,0.108491,1321,0.0870167,268,0.0176536,0,0,0,0,0
27/11/1998,11856,691,0.0582827,672,0.0566802,90,0.00759109,0,0,0,0,0
28/10/1998,15164,1743,0.114943,1393,0.0918623,244,0.0160907,0,0,0,0,0
19/10/1998,15199,2432,0.160011,1907,0.125469,185,0.0121719,0,0,0,0,0
25/12/1998,12573,2641,0.210053,2504,0.199157,261,0.0207588,0,0,0,0,0
16/12/1998,15265,2315,0.151654,1836,0.120275,267,0.017491,0,0,0,0,0
17/11/1998,15175,2519,0.165997,1868,0.123097,348,0.0229325,0,0,0,0,0
26/11/1998,11232,853,0.0759437,756,0.0673077,56,0.00498575,0,0,0,0,0
27/10/1998,15160,1772,0.116887,1291,0.0851583,255,0.0168206,0,0,0,0,0
18/10/1998,14412,3210,0.222731,2895,0.200874,134,0.00929781,0,0,0,0,0
